,strategy,benchmark
2023-01-27,14093.435839786685,16605.587074696643
2023-01-30,14009.733394344225,16293.97616529887
2023-01-31,14100.341157181312,16522.649159723896
2023-02-01,14197.162944720694,16811.84801212616
2023-02-02,14238.71835342075,16995.26007014471
2023-02-03,14136.64077790049,16832.224224654674
2023-02-06,14058.811090050276,16684.247001914657
2023-02-07,14150.337028094611,17053.17077799341
2023-02-08,14067.063750076839,16789.729213784954
2023-02-09,14048.425555193273,16678.111420570283
2023-02-10,14025.949350997369,16687.186319118202
2023-02-13,14115.526271326624,16869.940330098507
2023-02-14,14105.349901911428,16934.849626078416
2023-02-15,14090.288942970366,16879.52374634616
2023-02-16,14002.03613738122,16570.177997396957
2023-02-17,13947.198658303241,16408.187622409587
2023-02-21,13867.610812394405,16137.733815954156
2023-02-22,13863.996137211603,16105.950534128266
2023-02-23,13883.891442467047,16425.753352124688
2023-02-24,13795.293960605943,16238.854764833943
2023-02-27,13806.00611739825,16269.815786767185
2023-02-28,13802.222517862312,16222.44871142667
2023-03-01,13809.692434494664,16214.306194771694
2023-03-02,13919.278589347723,16440.46314821224
2023-03-03,13937.23029449242,16757.789104782038
2023-03-06,13924.99721941176,16737.69605540613
2023-03-07,13909.769894286786,16507.294403726384
2023-03-08,13913.595579704994,16624.46748261391
2023-03-09,13873.94048182153,16374.37225163661
2023-03-10,13833.472963397124,16165.405210885388
2023-03-13,13850.413544528557,16215.894234338497
2023-03-14,13960.86579679734,16568.90293146021
2023-03-15,13967.950214326293,16449.70044501778
2023-03-16,14093.22414263403,16871.014323176532
2023-03-17,14078.282356562779,16764.575219127124
2023-03-20,14112.884391619864,16944.908223441784
2023-03-21,14145.210211992702,17136.598634103273
2023-03-22,14095.833868061633,16988.140101150304
2023-03-23,14172.396780354879,17156.740429563084
2023-03-24,14208.168617586172,17224.936122310406
2023-03-27,14138.68572883094,17170.517909617116
2023-03-28,14102.097973561951,17127.918808160313
2023-03-29,14194.338665264517,17332.091855006027
2023-03-30,14246.510956266146,17477.649582560996
2023-03-31,14344.457262795666,17686.31555870837
