,strategy,benchmark
2024-04-01,30411.231255846596,28376.362405035205
2024-04-02,30216.7529746018,28206.72710767726
2024-04-03,30288.90471321641,28297.973759362412
2024-04-04,29551.501652552397,27655.15200066255
2024-04-05,30088.63038932585,28121.649579639856
2024-04-08,29928.652278881542,27999.82377393687
2024-04-09,29801.698742544962,27934.820622469455
2024-04-10,29792.4445891201,27865.07111257804
2024-04-11,30329.77129325774,28336.169255273133
2024-04-12,29736.09683585598,27784.057612131288
2024-04-15,29225.20722399765,27341.479010888605
2024-04-16,29381.25843797695,27459.94545017723
2024-04-17,28865.517037561927,26991.39859159961
2024-04-18,28826.389947558495,26913.17485259626
2024-04-19,27801.621172655672,26058.80846928387
2024-04-22,28233.719137672644,26439.869537334187
2024-04-23,28821.288999299544,26966.856383948427
2024-04-24,28530.46260565129,26782.24783576567
2024-04-25,28618.735178205636,26844.69061008051
2024-04-26,29322.763427336184,27426.663282929163
2024-04-29,29333.616491272103,27470.644880639713
2024-04-30,29070.044594466483,27192.34498820145
2024-05-01,28575.27049596351,26774.46486444168
2024-05-02,28749.977008767462,26997.134414249682
2024-05-03,29309.88690118195,27462.9422867904
2024-05-06,29889.785958879842,27975.834392503482
2024-05-07,29838.260956419377,27926.002139711654
2024-05-08,29825.723949114898,27919.46166718226
2024-05-09,29692.577079709063,27833.038468195078
2024-05-10,29803.320233975643,27951.32296519251
2024-05-13,29818.52789519711,27971.26526079537
2024-05-14,30081.894572089604,28259.475565383735
2024-05-15,30840.718785503333,28932.984996920204
2024-05-16,30694.845757707473,28804.212416501705
2024-05-17,30577.87106819995,28733.053713028185
2024-05-20,30870.761495228537,29001.4591909987
2024-05-21,30943.959802860572,29063.9752401385
2024-05-22,30843.83041898168,28990.339953914918
2024-05-23,31392.749062513943,29380.337348876325
2024-05-24,31754.666018986693,29713.005094693188
2024-05-28,32397.181732400368,30253.170391499945
2024-05-29,32269.032707097896,30087.255326030012
2024-05-30,31627.41642776261,29511.584733430118
2024-05-31,31701.292492114506,29595.498659961762
2024-06-03,32161.21949998096,29964.83141357101
2024-06-04,32318.803036407473,30074.264618259516
2024-06-05,33196.48946718405,30857.46578079425
2024-06-06,33133.549186092176,30813.16963155142
2024-06-07,33204.60106786843,30863.430570470275
2024-06-10,33359.096466286785,30999.344963527536
2024-06-11,33402.8426918846,31012.710631269754
2024-06-12,33915.602634502255,31565.749796420725
2024-06-13,34564.28208711494,32076.507411956532
2024-06-14,34942.33286733956,32342.710068374665
2024-06-17,35144.527858208596,32553.891542642777
2024-06-18,35480.395800536346,32881.75373776397
2024-06-20,35062.1148467323,32468.268134179994
2024-06-21,34595.7715116635,32081.01516022253
2024-06-24,33859.76361637104,31438.82508152705
2024-06-25,34654.05255355428,32072.181234098778
2024-06-26,34642.102320778664,32029.586855990026
2024-06-27,34581.21232388046,31979.54688134582
2024-06-28,34516.23053330525,31962.8647264156
2024-07-01,34631.460554222554,32056.83046472883
2024-07-02,34600.103071747115,32034.693452362066
2024-07-03,35170.75768539123,32527.472944882717
2024-07-05,35279.19241845237,32626.145978840257
2024-07-08,35563.80894944777,32865.164846569016
2024-07-09,35775.15730792318,32982.39555629264
2024-07-10,36357.33331012155,33496.149992685205
2024-07-11,35495.54193004057,32767.887618515826
2024-07-12,35725.00005688798,32991.33023785497
2024-07-15,35698.89237477624,32996.62971073829
2024-07-16,35463.28459075027,32846.366983360254
2024-07-17,34101.76134638661,31634.408824519545
2024-07-18,33988.96566223616,31529.79911352459
2024-07-19,33703.61516104397,31224.85517585768
2024-07-22,34464.6726587298,31926.353062748207
2024-07-23,34475.6937029802,31913.765395236765
2024-07-24,33153.125616078374,30794.08275892984
2024-07-25,32635.27529362337,30378.303538692413
2024-07-26,32854.53735488078,30618.754798236827
2024-07-29,32658.123803235063,30436.155863204498
2024-07-30,31838.498883247597,29726.116891489437
2024-07-31,33509.04911791305,31182.822254848485
2024-08-01,32610.01541691626,30319.539985197844
2024-08-02,32070.94008920152,29804.890509683308
2024-08-05,30905.40390788402,28765.456577968693
2024-08-06,31382.69035311879,29174.700801460007
2024-08-07,30658.207069121054,28546.27323753431
2024-08-08,32028.174927003514,29779.553556559025
2024-08-09,32285.0471019694,30002.407410203385
2024-08-12,32632.840657043966,30282.458028875582
2024-08-13,33640.98795115766,31155.851562699205
2024-08-14,33955.710880395345,31405.3913644945
2024-08-15,34815.58951008982,32169.33411755357
2024-08-16,34930.736055650945,32251.58617903621
2024-08-19,35630.417576497624,32837.65051360995
2024-08-20,35466.893544837956,32690.784918955796
2024-08-21,35636.805990755944,32855.077678345624
2024-08-22,35022.87896962348,32300.898367970905
2024-08-23,35701.15882989573,32913.3394277551
2024-08-26,35268.91230893734,32553.27760226496
2024-08-27,35476.07245937318,32745.685497537186
2024-08-28,35032.56363626812,32357.10241522304
2024-08-29,34390.68283816442,31861.130233491753
2024-08-30,34834.62840438475,32274.812671057818
2024-09-03,33304.83548062686,30894.92023041299
2024-09-04,33127.82173417095,30777.06422631028
2024-09-05,32939.93153250104,30613.197109952373
2024-09-06,31990.226992887165,29800.695740485637
2024-09-09,32571.906623964765,30311.406991537733
2024-09-10,32944.192863235294,30693.641491852777
2024-09-11,34088.87729204979,31644.67647113974
2024-09-12,34585.436882063426,32048.07152710355
2024-09-13,34583.54888192117,32075.15730682682
2024-09-16,34399.670727902136,31986.01021856833
2024-09-17,34167.17042919,31806.648237530066
2024-09-18,33890.88014741782,31562.078388803886
2024-09-19,34818.10658302807,32407.91852553176
2024-09-20,34727.78339815633,32284.312480441808
2024-09-23,34792.20208710162,32320.675982321616
2024-09-24,35232.739740800724,32683.206399599265
2024-09-25,35381.97338404635,32784.08506377235
2024-09-26,35516.48434097635,32953.19976496749
2024-09-27,35085.393886555066,32612.239164850966
2024-09-30,35256.39656519439,32766.872479106558
2024-10-01,34645.818630481146,32225.702132931474
